"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
67,Cuba,"1,112,513",,"8,530                                ",,"1,103,898",,85,2,"98,403",754,"14,304,679","1,265,268"
68,Ecuador,"1,052,007",,"35,942                                ",,"1,015,297",,768,759,"58,079","1,984","3,082,403","170,173"
69,UAE,"1,050,402",+72,"2,348                                ",,"1,033,751",+67,"14,303",,"104,188",233,"198,900,746","19,728,723"
70,Uruguay,"1,033,265",,"7,614                                ",,"1,024,935",,716,18,"295,555","2,178","6,114,822","1,749,083"
71,Panama,"1,030,214",,"8,599                                ",,"1,020,868",,747,16,"231,667","1,934","7,491,978","1,684,740"
72,Mongolia,"1,007,888",,"2,179                                ",,"1,005,686",,23,192,"298,361",645,"4,030,048","1,193,000"
73,Nepal,"1,001,115",+2,"12,020                                ",,"989,088",,7,,"33,121",398,"6,007,446","198,754"
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722"
75,Latvia,"975,590",,"6,225                                ",,"969,017",,348,13,"527,678","3,367","7,860,783","4,251,745"
76,Saudi Arabia,"828,525",+39,"9,592                                ",+1,"815,990",+30,"2,943",33,"23,114",268,"45,090,620","1,257,937"
77,Azerbaijan,"828,210",,"10,098                                ",,"817,965",,147,,"80,407",980,"7,504,181","728,547"
78,Paraguay,"806,790",,"19,843                                ",,N/A,N/A,N/A,7,"110,431","2,716","2,657,506","363,751"
79,Bahrain,"700,835",,"1,544                                ",,"698,541",,750,15,"392,848",865,"10,688,096","5,991,142"
80,Sri Lanka,"672,007",,"16,828                                ",,"655,175",,4,,"31,146",780,"6,486,117","300,619"
81,Kuwait,"662,858",,"2,570                                ",,"660,237",,51,,"151,326",587,"8,455,743","1,930,391"
82,Dominican Republic,"660,412",,"4,384                                ",,"644,785",,"11,243",4,"59,731",397,"3,740,928","338,350"
83,Cyprus,"645,515",,"1,293                                ",,"639,436",,"4,786",60,"527,646","1,057","9,640,118","7,879,860"
84,Myanmar,"633,864",,"19,490                                ",,"614,328",,46,,"11,477",353,"9,986,665","180,829"
85,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907"
86,Estonia,"614,198",,"2,919                                ",,"524,990",,"86,289",4,"464,629","2,208","3,663,669","2,771,497"
87,Moldova,"599,578",,"11,957                                ",,"504,142",,"83,479",49,"149,403","2,979","3,216,305","801,437"
88,Venezuela,"551,720",,"5,851                                ",,"545,505",,364,36,"18,851",200,"3,359,014","114,771"
89,Egypt,"515,666",,"24,613                                ",,"442,182",,"48,871",122,"4,858",232,"3,693,367","34,792"
90,Libya,"507,166",,"6,437                                ",,"500,725",,4,,"72,033",914,"2,483,446","352,725"
91,Ethiopia,"499,761",,"7,572                                ",,"486,957",,"5,232",,"4,137",63,"5,472,361","45,296"
92,Qatar,"492,925",,686                                ,,"491,995",,244,1,"165,416",230,"4,065,369","1,364,257"
93,Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027"
94,Honduras,"470,940",,"11,104                                ",,N/A,N/A,N/A,105,"46,075","1,086","1,620,796","158,571"
95,Armenia,"446,332",,"8,719                                ",,"435,162",,"2,451",,"150,181","2,934","3,242,901","1,091,164"
96,Bosnia and Herzegovina,"401,472",,"16,261                                ",,"379,084",,"6,127",,"123,556","5,004","1,884,721","580,036"
97,Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724"
98,North Macedonia,"346,533",,"9,641                                ",,"336,744",,148,,"166,498","4,632","2,218,852","1,066,087"
99,Kenya,"342,817",,"5,688                                ",,"337,095",,34,1,"6,098",101,"3,967,062","70,569"
100,Zambia,"342,288",,"4,051                                ",,"337,211",,"1,026",,"17,580",208,"3,901,511","200,383"
101,Albania,"334,243",,"3,595                                ",,"329,021",,"1,627",,"116,608","1,254","1,941,032","677,173"
102,Botswana,"329,494",,"2,801                                ",,"326,266",,427,1,"134,974","1,147","2,026,898","830,300"
103,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188"
104,Montenegro,"286,867",,"2,799                                ",,"283,602",,466,6,"456,831","4,457","2,704,740","4,307,254"
105,Brunei ,"276,825",,225                                ,,"243,601",,"32,999",3,"621,477",505,"717,784","1,611,437"
106,Algeria,"271,409",,"6,881                                ",,"182,771",,"81,757",,"5,985",152,"230,861","5,091"
107,Nigeria,"266,463",,"3,155                                ",,"259,850",,"3,458",11,"1,229",15,"5,708,974","26,339"
108,Zimbabwe,"263,083",,"5,659                                ",,"255,970",,"1,454",12,"17,160",369,"2,525,756","164,744"
109,Uzbekistan,"250,743",,"1,637                                ",,"241,486",,"7,620",23,"7,293",48,"1,377,915","40,077"
110,Mozambique,"232,819",,"2,237                                ",,"228,805",,"1,777",11,"7,036",68,"1,371,127","41,437"
111,Martinique,"229,687",,"1,097                                ",,N/A,N/A,N/A,12,"613,994","2,932","828,928","2,215,870"
112,Laos,"217,998",,758                                ,,N/A,N/A,N/A,,"29,140",101,"1,233,207","164,845"
113,Afghanistan,"208,982",+9,"7,896                                ",,"188,537",+26,"12,549",45,"5,128",194,"1,193,709","29,290"
114,Iceland,"208,839",,229                                ,,N/A,N/A,N/A,2,"604,642",663,"1,996,384","5,780,036"
115,Kyrgyzstan,"206,599",,"2,991                                ",,"196,406",,"7,202",131,"30,706",445,"1,907,195","283,460"
116,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467"
117,Guadeloupe,"201,704",,"1,010                                ",,N/A,N/A,N/A,19,"504,520","2,526","938,039","2,346,306"
118,Trinidad and Tobago,"188,199",,"4,331                                ",,"183,687",,181,8,"133,799","3,079","891,717","633,959"
119,Maldives,"185,721",,311                                ,,"163,687",,"21,723",25,"343,302",575,"2,213,831","4,092,223"
120,Ghana,"171,140",,"1,462                                ",,"169,665",,13,2,"5,283",45,"2,528,583","78,054"
121,Namibia,"170,741",,"4,088                                ",,"166,452",,201,,"64,825","1,552","1,062,663","403,460"
122,Uganda,"170,400",,"3,630                                ",,"100,431",,"66,339",3,"3,518",75,"3,012,408","62,198"
123,Jamaica,"153,905",,"3,488                                ",,"102,268",,"48,149",,"51,558","1,168","1,183,986","396,633"
124,Cambodia,"138,704",+1,"3,056                                ",,"135,640",,8,,"8,079",178,"3,091,420","180,062"
125,Rwanda,"133,090",,"1,468                                ",,"131,559",,63,,"9,786",108,"5,959,042","438,150"
126,Cameroon,"123,993",,"1,965                                ",,"118,616",,"3,412",13,"4,442",70,"1,751,774","62,762"
127,Malta,"117,166",,826                                ,,"115,735",,605,4,"263,868","1,860","2,111,209","4,754,622"
128,Barbados,"106,434",,573                                ,,"105,850",,11,,"369,533","1,989","792,463","2,751,388"
129,Angola,"105,184",,"1,931                                ",,"103,216",,37,,"3,003",55,"1,499,795","42,818"
130,Channel Islands,"101,205",,227                                ,,"100,878",,100,,"573,520","1,286","1,252,808","7,099,551"
131,French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951"
132,DRC,"95,585",,"1,463                                ",,"84,273",,"9,849",,"1,004",15,"846,704","8,890"
133,Senegal,"88,902",,"1,971                                ",,"86,929",,2,,"5,036",112,"1,146,543","64,946"
134,Malawi,"88,559",,"2,686                                ",,"85,369",,504,67,"4,388",133,"624,784","30,959"
135,Ivory Coast,"88,058",,834                                ,,"87,179",,45,,"3,174",30,"1,674,783","60,369"
136,Suriname,"82,227",,"1,400                                ",,N/A,N/A,N/A,,"137,773","2,346","240,907","403,644"
137,New Caledonia,"79,845",,314                                ,,"79,526",,5,9,"274,462","1,079","98,964","340,182"
138,French Polynesia,"77,957",,649                                ,,N/A,N/A,N/A,7,"274,338","2,284",,
139,Eswatini,"74,143",,"1,423                                ",,"72,699",,21,,"62,578","1,201","1,048,704","885,119"
140,Guyana,"73,032",,"1,297                                ",,"71,646",,89,,"91,975","1,633","719,071","905,580"
141,Belize,"70,697",,688                                ,,"69,983",,26,6,"171,516","1,669","576,016","1,397,453"
142,Fiji,"68,864",,883                                ,,"66,826",,"1,155",,"75,719",971,"668,173","734,687"
143,Madagascar,"67,842",,"1,420                                ",,"66,399",,23,,"2,325",49,"524,209","17,966"
144,Sudan,"63,759",,"5,008                                ",,"58,331",,420,,"1,386",109,"562,941","12,240"
145,Mauritania,"63,667",,997                                ,,"62,439",,231,,"12,988",203,"1,009,957","206,030"
146,Cabo Verde,"63,235",,413                                ,,"62,763",,59,23,"111,392",728,"401,622","707,482"
147,Bhutan,"62,608",,21                                ,,"61,564",,"1,023",,"79,458",27,"2,303,734","2,923,739"
149,Burundi,"53,574",,38                                ,,"53,526",,10,,"4,244",3,"345,742","27,386"
150,Seychelles,"50,665",,172                                ,,"50,440",,53,,"509,575","1,730",,
151,Gabon,"48,981",,306                                ,,"48,674",,1,,"21,008",131,"1,621,909","695,641"
152,Andorra,"47,860",,165                                ,,"47,563",,132,14,"617,843","2,130","249,838","3,225,256"
153,Papua New Guinea,"46,776",,670                                ,,"43,982",,"2,124",7,"5,034",72,"249,149","26,813"
154,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640"
155,Aruba,"44,026",,236                                ,,"42,438",,"1,352",2,"409,129","2,193","177,885","1,653,068"
156,Tanzania,"42,717",,846                                ,,N/A,N/A,N/A,7,675,13,,
157,Mayotte,"42,004",,188                                ,,N/A,N/A,N/A,,"146,734",657,"176,919","618,038"
158,Mauritius,"41,677",,"1,043                                ",,"39,977",,657,,"32,695",818,"358,675","281,374"
159,Togo,"39,358",,290                                ,,"39,066",,2,,"4,534",33,"807,322","93,000"
160,Guinea,"38,240",,467                                ,,"37,757",,16,8,"2,758",34,"660,107","47,607"
161,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422"
162,Bahamas,"37,491",,833                                ,,"36,366",,292,1,"93,607","2,080","257,839","643,767"
163,Lesotho,"34,790",,723                                ,,"25,980",,"8,087",,"15,990",332,"431,221","198,199"
164,Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409"
165,Haiti,"34,076",,860                                ,,"33,033",,183,,"2,917",74,"132,422","11,337"
166,Mali,"32,833",,743                                ,,"31,967",,123,,"1,529",35,"791,728","36,870"
167,Cayman Islands,"31,472",,37                                ,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280"
168,Saint Lucia,"29,882",,409                                ,,"29,095",,378,,"161,426","2,209","210,983","1,139,752"
169,Benin,"27,990",,163                                ,,"27,825",,2,,"2,189",13,"604,310","47,268"
170,Somalia,"27,322",,"1,361                                ",,"13,182",,"12,779",,"1,622",81,"400,466","23,778"
171,Congo,"25,375",,386                                ,,"24,006",,983,,"4,377",67,"347,815","59,991"
172,Solomon Islands,"24,575",,153                                ,,N/A,N/A,N/A,1,"34,077",212,,
173,Micronesia,"23,671",,60                                ,,N/A,N/A,N/A,1,"201,474",511,"54,967","467,848"
174,San Marino,"23,427",,122                                ,,"23,276",,29,4,"687,311","3,579","157,634","4,624,732"
175,Timor-Leste,"23,416",,138                                ,,"23,102",,176,,"17,099",101,"278,529","203,391"
176,Burkina Faso,"22,025",,396                                ,,"21,596",,33,,996,18,"248,995","11,265"
177,Liechtenstein,"21,364",,89                                ,,"21,248",,27,1,"556,543","2,318","112,457","2,929,559"
178,Gibraltar,"20,399",,111                                ,,"16,579",,"3,709",,"605,240","3,293","534,283","15,852,213"
179,Grenada,"19,680",,238                                ,,"19,358",,84,4,"173,430","2,097","182,981","1,612,523"
180,Bermuda,"18,785",,158                                ,,"18,612",,15,,"303,282","2,551","1,026,304","16,569,593"
181,Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",,"2,728",33,,
182,South Sudan,"18,368",,138                                ,,"18,115",,115,1,"1,581",12,"410,280","35,313"
183,Tajikistan,"17,786",,125                                ,,"17,264",,397,,"1,786",13,,
184,Equatorial Guinea,"17,212",,183                                ,,"16,883",,146,5,"11,500",122,"365,697","244,342"
185,Tonga,"16,795",,13                                ,,"15,638",,"1,144",,"155,872",121,"535,009","4,965,327"
186,Samoa,"16,109",,29                                ,,"1,605",,"14,475",,"79,653",143,"187,397","926,612"
187,Monaco,"16,095",,67                                ,,"15,992",,36,4,"404,570","1,684","78,646","1,976,875"
188,Dominica,"15,760",,74                                ,,"15,673",,13,,"217,848","1,023","229,344","3,170,187"
189,Djibouti,"15,690",,189                                ,,"15,427",,74,,"15,441",186,"305,941","301,094"
190,Marshall Islands,"15,590",,17                                ,,"15,528",,45,,"259,587",283,,
191,CAR,"15,368",,113                                ,,"15,200",,55,2,"3,063",23,"81,294","16,205"
192,Gambia,"12,586",,372                                ,,"12,189",,25,,"4,919",145,"155,686","60,851"
193,Saint Martin,"12,247",,63                                ,,"1,399",,"10,785",7,"308,256","1,586","112,382","2,828,643"
194,Vanuatu,"12,014",,14                                ,,"11,976",,24,,"37,330",44,"24,976","77,606"
195,Greenland,"11,971",,21                                ,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810"
196,Yemen,"11,945",,"2,159                                ",,"9,124",,662,23,383,69,"329,592","10,579"
197,Caribbean Netherlands,"11,666",,38                                ,,"10,476",,"1,152",,"437,798","1,426","30,126","1,130,559"
198,Sint Maarten,"11,016",,91                                ,,"10,905",,20,N/A,"250,557","2,070","62,056","1,411,454"
200,Niger,"9,931",,312                                ,,"8,890",,729,1,381,12,"254,538","9,759"
201,St. Vincent Grenadines,"9,587",,123                                ,,"9,461",,3,,"85,943","1,103","113,565","1,018,055"
202,Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,1,"91,509","1,467","18,901","189,943"
203,Comoros,"8,992",,161                                ,,"8,827",,4,,"9,909",177,,
204,Guinea-Bissau,"8,947",,176                                ,,"8,656",,115,6,"4,336",85,"145,231","70,385"
205,Liberia,"8,065",,294                                ,,"7,768",,3,2,"1,520",55,"139,824","26,356"
206,Sierra Leone,"7,760",,126                                ,,N/A,N/A,N/A,,934,15,"259,958","31,296"
207,Chad,"7,652",,194                                ,,"4,874",,"2,584",,439,11,"191,341","10,988"
208,British Virgin Islands,"7,305",,64                                ,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269"
209,Cook Islands,"7,022",,2                                ,,"7,012",,8,,"399,636",114,"19,690","1,120,596"
210,Saint Kitts and Nevis,"6,593",,46                                ,,"6,543",,4,,"122,385",854,"126,918","2,355,961"
211,Turks and Caicos,"6,537",,38                                ,,"6,474",,25,4,"164,490",956,"611,527","15,387,811"
212,Sao Tome and Principe,"6,280",,77                                ,,"6,202",,1,,"27,583",338,"29,036","127,530"
213,Palau,"5,987",,9                                ,,"5,976",,2,,"328,361",494,"68,820","3,774,475"
214,St. Barth,"5,431",,6                                ,,N/A,N/A,N/A,,"546,104",603,"78,646","7,908,095"
215,Kiribati,"5,008",,18                                ,,"2,703",,"2,287",3,"40,577",146,,
216,Nauru,"4,815",,1                                ,,"4,609",,205,,"441,622",92,"20,509","1,881,042"
217,Anguilla,"3,904",,12                                ,,"3,879",,13,4,"256,336",788,"51,382","3,373,736"
218,Macao,"3,507",,121                                ,,"3,375",,11,,"5,254",181,"7,850","11,760"
219,Saint Pierre Miquelon,"3,452",,2                                ,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488"
220,Wallis and Futuna,"3,427",,7                                ,,438,,"2,982",,"312,056",637,"20,508","1,867,419"
221,Tuvalu,"2,805",, ,,,,"2,805",,"232,471",,,
222,Saint Helena,"2,166",, ,,2,,"2,164",,"354,211",,,
224,Montserrat,"1,403",,8                                ,,"1,376",,19,,"282,578","1,611","17,762","3,577,442"
230,Tokelau,5,, ,,,,5,,"3,628",,,
231,China,"503,302",,"5,272                                ",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461"
,Total:,"677,587,006","+60,338","6,782,362",+283,"650,026,847","+68,630","20,777,797","41,234","86,928.1",870.1,,
