Date,Open_Eth,High_Eth,Low_Eth,Close_Eth,Adj.Close_Eth,Volume_Eth,Open_sp,High_sp,Low_sp,Close_sp,Adj.Close_sp,Volume_sp
2018-12-14,86.630356,87.144943,83.226479,84.308296,84.308296,1651491877,2629.68,2635.07,2593.84,2599.95,2599.95,4035020000.0
2018-12-17,85.382111,96.805054,85.382111,95.133827,95.133827,2101453024,2590.75,2601.13,2530.54,2545.94,2545.94,4616350000.0
2018-12-18,95.10804,101.320236,92.968521,101.112457,101.112457,2277514076,2559.9,2573.99,2528.71,2546.16,2546.16,4470880000.0
2018-12-19,101.683846,108.549057,100.69146,101.268578,101.268578,2456482115,2547.05,2585.29,2488.96,2506.96,2506.96,5127940000.0
2018-12-20,101.090439,117.170128,100.639961,116.216873,116.216873,3063842618,2496.77,2509.63,2441.18,2467.42,2467.42,5585780000.0
2018-12-21,115.835403,119.094162,107.584793,109.496231,109.496231,2632539990,2465.38,2504.41,2408.55,2416.62,2416.62,7609010000.0
2018-12-24,130.641663,157.668701,130.641663,140.238007,140.238007,4370343387,2400.56,2410.34,2351.1,2351.1,2351.1,2613930000.0
2018-12-26,129.888824,136.677246,126.292908,131.865631,131.865631,2720469126,2363.12,2467.76,2346.58,2467.7,2467.7,4233990000.0
2018-12-27,131.923584,132.677063,115.650101,116.575912,116.575912,2612804378,2442.5,2489.1,2397.94,2488.83,2488.83,4096610000.0
2018-12-28,116.898201,137.647018,115.69313,137.647018,137.647018,3130201009,2498.77,2520.27,2472.89,2485.74,2485.74,3702620000.0
2018-12-31,140.031067,140.181152,132.519394,133.368256,133.368256,2358360234,2498.94,2509.24,2482.82,2506.85,2506.85,3442870000.0
2019-02-01,141.519516,156.929138,140.650955,155.047684,155.047684,3328240369,2702.32,2716.66,2696.88,2706.53,2706.53,3759270000.0
2019-03-01,155.196045,155.863052,147.198364,149.13501,149.13501,2676164880,2798.22,2808.02,2787.38,2803.69,2803.69,3972280000.0
2019-04-01,148.912888,156.878983,147.907104,154.58194,154.58194,3126192535,2848.63,2869.4,2848.63,2867.19,2867.19,3500760000.0
2019-05-01,154.337418,160.82489,154.337418,155.638596,155.638596,3338211928,2952.33,2954.13,2923.36,2923.73,2923.73,3645850000.0
